Territorialidades;IDHM 2010
Assis (SP);0,805
Assunção do Piauí (PI);0,499
Assunção (PB);0,609
Astolfo Dutra (MG);0,694
Astorga (PR);0,747
Atalaia (AL);0,561
Atalaia do Norte (AM);0,45
Atalaia (PR);0,736
Atalanta (SC);0,733
Ataléia (MG);0,588
Atibaia (SP);0,765
Atilio Vivacqua (ES);0,708
Augustinópolis (TO);0,67
Augusto Corrêa (PA);0,52
Augusto de Lima (MG);0,656
Augusto Pestana (RS);0,743
Augusto Severo (RN);0,621
Áurea (RS);0,707
Aurelino Leal (BA);0,568
Auriflama (SP);0,773
Aurilândia (GO);0,7
Aurora (CE);0,605
Aurora do Pará (PA);0,519
Aurora do Tocantins (TO);0,677
Aurora (SC);0,733
Autazes (AM);0,577
Avaí (SP);0,714
Avanhandava (SP);0,705
Avaré (SP);0,767
Aveiro (PA);0,541
Avelino Lopes (PI);0,554
Avelinópolis (GO);0,66
Axixá do Tocantins (TO);0,627
Axixá (MA);0,641
Babaçulândia (TO);0,642
Bacabal (MA);0,651
Bacabeira (MA);0,629
Bacuri (MA);0,578
Bacurituba (MA);0,537
Bady Bassitt (SP);0,746
Baependi (MG);0,681
Bagé (RS);0,74
Bagre (PA);0,471
Baía da Traição (PB);0,581
Baía Formosa (RN);0,609
Baianópolis (BA);0,589
Baião (PA);0,578
Baixa Grande (BA);0,585
Baixa Grande do Ribeiro (PI);0,564
Baixio (CE);0,627
Baixo Guandu (ES);0,702
Balbinos (SP);0,669
Baldim (MG);0,671
Baliza (GO);0,655
Balneário Arroio do Silva (SC);0,746
Balneário Barra do Sul (SC);0,716
Balneário Camboriú (SC);0,845
Balneário Gaivota (SC);0,728
Balneário Piçarras (SC);0,756
Balneário Pinhal (RS);0,696
Bálsamo (SP);0,756
Balsa Nova (PR);0,696
Balsas (MA);0,687
Bambuí (MG);0,741
Banabuiú (CE);0,606
Bananal (SP);0,733
Bananeiras (PB);0,568
Bandeira do Sul (MG);0,692
Bandeira (MG);0,599
Bandeirante (SC);0,672
Bandeirantes do Tocantins (TO);0,638
Bandeirantes (MS);0,681
Bandeirantes (PR);0,727
Bannach (PA);0,594
Banzaê (BA);0,579
Barão de Antonina (SP);0,711
Barão de Cocais (MG);0,722
Barão de Cotegipe (RS);0,719
Barão de Grajaú (MA);0,592
Barão de Melgaço (MT);0,6
Barão de Monte Alto (MG);0,649
Barão do Triunfo (RS);0,61
Barão (RS);0,748
Baraúna (PB);0,558
Baraúna (RN);0,574
Barbacena (MG);0,769
Barbalha (CE);0,683
Barbosa Ferraz (PR);0,696
Barbosa (SP);0,699
Barcarena (PA);0,662
Barcelona (RN);0,566
Barcelos (AM);0,5
Bariri (SP);0,75
Barra (BA);0,557
Barra Bonita (SC);0,701
Barra Bonita (SP);0,788
Barracão (PR);0,706
Barracão (RS);0,71
Barra da Estiva (BA);0,575
Barra D'Alcântara (PI);0,577
Barra de Guabiraba (PE);0,577
Barra de Santana (PB);0,567
Barra de Santa Rosa (PB);0,562
Barra de Santo Antônio (AL);0,557
Barra de São Francisco (ES);0,683
Barra de São Miguel (AL);0,615
Barra de São Miguel (PB);0,572
Barra do Bugres (MT);0,693
Barra do Chapéu (SP);0,66
Barra do Choça (BA);0,551
Barra do Corda (MA);0,606
Barra do Garças (MT);0,748
Barra do Guarita (RS);0,734
Barra do Jacaré (PR);0,744
Barra do Mendes (BA);0,63
Barra do Ouro (TO);0,603
Barra do Piraí (RJ);0,733
Barra do Quaraí (RS);0,662
Barra do Ribeiro (RS);0,67
Barra do Rio Azul (RS);0,723
Barra do Rocha (BA);0,577
Barra dos Coqueiros (SE);0,649
Barra do Turvo (SP);0,641
Barra Funda (RS);0,763
Barra Longa (MG);0,624
Barra Mansa (RJ);0,729
Barras (PI);0,595
Barra Velha (SC);0,738
Barreira (CE);0,616
Barreiras (BA);0,721
Barreiras do Piauí (PI);0,557
Barreirinha (AM);0,574
Barreirinhas (MA);0,57
Barreiros (PE);0,586
Barretos (SP);0,789
Barrinha (SP);0,725
Barro Alto (BA);0,607
Barro Alto (GO);0,742
Barrocas (BA);0,61
Barro (CE);0,599
Barro Duro (PI);0,612
Barrolândia (TO);0,642
Barro Preto (BA);0,602
Barroquinha (CE);0,571
Barros Cassal (RS);0,65
Barroso (MG);0,734
Barueri (SP);0,786
Bastos (SP);0,751
Bataguassu (MS);0,71
Batalha (AL);0,594
Batalha (PI);0,545
Batatais (SP);0,761
Batayporã (MS);0,684
Baturité (CE);0,619
Bauru (SP);0,801
Bayeux (PB);0,649
Bebedouro (SP);0,78
Beberibe (CE);0,638
Bela Cruz (CE);0,623
Belágua (MA);0,512
Bela Vista da Caroba (PR);0,681
Bela Vista de Goiás (GO);0,716
Bela Vista de Minas (MG);0,674
Bela Vista do Maranhão (MA);0,554
Bela Vista do Paraíso (PR);0,716
Bela Vista do Piauí (PI);0,576
Bela Vista do Toldo (SC);0,675
Bela Vista (MS);0,698
Belém (AL);0,593
Belém de Maria (PE);0,578
Belém do Brejo do Cruz (PB);0,578
Belém do Piauí (PI);0,551
Belém do São Francisco (PE);0,642
Belém (PA);0,746
Belém (PB);0,592
Belford Roxo (RJ);0,684
Belmiro Braga (MG);0,66
Belmonte (BA);0,598
Belmonte (SC);0,705
Belo Campo (BA);0,575
Belo Horizonte (MG);0,81
Belo Jardim (PE);0,629
Belo Monte (AL);0,517
Belo Oriente (MG);0,686
Belo Vale (MG);0,655
Belterra (PA);0,588
Beneditinos (PI);0,557
Benedito Leite (MA);0,546
Benedito Novo (SC);0,74
Benevides (PA);0,665
Benjamin Constant (AM);0,574
Benjamin Constant do Sul (RS);0,619
Bento de Abreu (SP);0,744
Bento Fernandes (RN);0,582
Bento Gonçalves (RS);0,778
Bequimão (MA);0,601
Berilo (MG);0,628
Berizal (MG);0,604
Bernardino Batista (PB);0,558
Bernardino de Campos (SP);0,734
Bernardo do Mearim (MA);0,604
Bernardo Sayão (TO);0,638
Bertioga (SP);0,73
Bertolínia (PI);0,612
Bertópolis (MG);0,594
Beruri (AM);0,506
Betânia do Piauí (PI);0,489
Betânia (PE);0,559
Betim (MG);0,749
Bezerros (PE);0,606
Bias Fortes (MG);0,62
Bicas (MG);0,744
Biguaçu (SC);0,739
Bilac (SP);0,768
Biquinhas (MG);0,688
Birigui (SP);0,78
Biritiba-Mirim (SP);0,712
Biritinga (BA);0,538
Bituruna (PR);0,667
Blumenau (SC);0,806
Boa Esperança do Iguaçu (PR);0,7
Boa Esperança do Sul (SP);0,681
Boa Esperança (ES);0,679
Boa Esperança (MG);0,704
Boa Esperança (PR);0,72
Boa Hora (PI);0,575
Boa Nova (BA);0,567
Boa Ventura de São Roque (PR);0,655
Boa Ventura (PB);0,599
Boa Viagem (CE);0,598
Boa Vista da Aparecida (PR);0,67
Boa Vista das Missões (RS);0,676
Boa Vista do Buricá (RS);0,762
Boa Vista do Cadeado (RS);0,703
Boa Vista do Gurupi (MA);0,545
Boa Vista do Incra (RS);0,731
Boa Vista do Ramos (AM);0,565
Boa Vista do Sul (RS);0,728
Boa Vista do Tupim (BA);0,551
Boa Vista (PB);0,649
Boa Vista (RR);0,752
Boca da Mata (AL);0,604
Boca do Acre (AM);0,588
Bocaina de Minas (MG);0,645
Bocaina do Sul (SC);0,647
Bocaina (PI);0,632
Bocaina (SP);0,742
Bocaiúva do Sul (PR);0,64
Bocaiúva (MG);0,7
Bodocó (PE);0,565
Bodoquena (MS);0,666
Bodó (RN);0,629
Bofete (SP);0,705
Boituva (SP);0,78
Bombinhas (SC);0,781
Bom Conselho (PE);0,563
Bom Despacho (MG);0,75
Bom Jardim da Serra (SC);0,696
Bom Jardim de Goiás (GO);0,67
Bom Jardim de Minas (MG);0,673
Bom Jardim (MA);0,538
Bom Jardim (PE);0,602
Bom Jardim (RJ);0,66
Bom Jesus da Lapa (BA);0,633
Bom Jesus da Penha (MG);0,735
Bom Jesus da Serra (BA);0,546
Bom Jesus das Selvas (MA);0,558
Bom Jesus de Goiás (GO);0,701
Bom Jesus do Amparo (MG);0,683
Bom Jesus do Araguaia (MT);0,661
Bom Jesus do Galho (MG);0,623
Bom Jesus do Itabapoana (RJ);0,732
Bom Jesus do Norte (ES);0,734
Bom Jesus do Oeste (SC);0,712
Bom Jesus dos Perdões (SP);0,713
Bom Jesus do Sul (PR);0,697
Bom Jesus do Tocantins (PA);0,589
Bom Jesus do Tocantins (TO);0,66
Bom Jesus (PB);0,597
Bom Jesus (PI);0,668
Bom Jesus (RN);0,584
Bom Jesus (RS);0,666
Bom Jesus (SC);0,718
Bom Lugar (MA);0,562
Bom Princípio do Piauí (PI);0,532
Bom Princípio (RS);0,746
Bom Progresso (RS);0,723
Bom Repouso (MG);0,653
Bom Retiro do Sul (RS);0,739
Bom Retiro (SC);0,699
Bom Sucesso de Itararé (SP);0,66
Bom Sucesso do Sul (PR);0,742
Bom Sucesso (MG);0,692
Bom Sucesso (PB);0,592
Bom Sucesso (PR);0,686
Bonfim do Piauí (PI);0,542
Bonfim (MG);0,637
Bonfim (RR);0,626
Bonfinópolis de Minas (MG);0,678
Bonfinópolis (GO);0,683
Boninal (BA);0,612
Bonito (BA);0,561
Bonito de Minas (MG);0,537
Bonito de Santa Fé (PB);0,574
Bonito (MS);0,67
Bonito (PA);0,546
Bonito (PE);0,561
Bonópolis (GO);0,63
Boqueirão do Leão (RS);0,7
Boqueirão do Piauí (PI);0,56
Boqueirão (PB);0,607
Boquim (SE);0,604
Boquira (BA);0,603
Boracéia (SP);0,754
Borá (SP);0,746
Borba (AM);0,56
Borborema (PB);0,558
Borborema (SP);0,73
Borda da Mata (MG);0,73
Borebi (SP);0,705
Borrazópolis (PR);0,717
Bossoroca (RS);0,692
Botelhos (MG);0,702
Botucatu (SP);0,8
Botumirim (MG);0,602
Botuporã (BA);0,575
Botuverá (SC);0,724
Bozano (RS);0,745
Braço do Norte (SC);0,778
Braço do Trombudo (SC);0,78
Bragança (PA);0,6
Bragança Paulista (SP);0,776
Braganey (PR);0,701
Braga (RS);0,674
Branquinha (AL);0,513
Brasilândia de Minas (MG);0,674
Brasilândia do Sul (PR);0,681
Brasilândia do Tocantins (TO);0,684
Brasilândia (MS);0,701
Brasiléia (AC);0,614
Brasileira (PI);0,577
Brasília de Minas (MG);0,656
Brasília (DF);0,824
Brasil Novo (PA);0,613
Brasnorte (MT);0,696
Brasópolis (MG);0,692
Brás Pires (MG);0,625
Braúnas (MG);0,624
Braúna (SP);0,737
Brazabrantes (GO);0,701
Brejão (PE);0,547
Brejetuba (ES);0,656
Brejinho de Nazaré (TO);0,686
Brejinho (PE);0,574
Brejinho (RN);0,592
Brejo Alegre (SP);0,71
Brejo da Madre de Deus (PE);0,562
Brejo de Areia (MA);0,519
Brejo do Cruz (PB);0,597
Brejo do Piauí (PI);0,515
Brejo dos Santos (PB);0,619
Brejões (BA);0,597
Brejo Grande do Araguaia (PA);0,591
Brejo Grande (SE);0,54
Brejolândia (BA);0,592
Brejo (MA);0,562
Brejo Santo (CE);0,647
Breu Branco (PA);0,568
Breves (PA);0,503
Britânia (GO);0,672
Brochier (RS);0,699
Brodowski (SP);0,755
Brotas de Macaúbas (BA);0,57
Brotas (SP);0,74
Brumadinho (MG);0,747
Brumado (BA);0,656
Brunópolis (SC);0,661
Brusque (SC);0,795
Bueno Brandão (MG);0,658
Buenópolis (MG);0,669
Buenos Aires (PE);0,593
Buerarema (BA);0,613
Bugre (MG);0,627
Buíque (PE);0,527
Bujari (AC);0,589
Bujaru (PA);0,552
Buri (SP);0,667
Buritama (SP);0,763
Buriti Alegre (GO);0,71
Buriti Bravo (MA);0,59
Buriticupu (MA);0,556
Buriti de Goiás (GO);0,687
Buriti dos Lopes (PI);0,565
Buriti dos Montes (PI);0,574
Buriti do Tocantins (TO);0,627
Buriti (MA);0,548
Buritinópolis (GO);0,704
Buritirama (BA);0,565
Buritirana (MA);0,583
Buritis (MG);0,672
Buritis (RO);0,616
Buritizal (SP);0,735
Buritizeiro (MG);0,624
Butiá (RS);0,689
Caapiranga (AM);0,569
Caaporã (PB);0,602
Caarapó (MS);0,692
Caatiba (BA);0,561
Cabaceiras do Paraguaçu (BA);0,581
Cabaceiras (PB);0,611
Cabeceira Grande (MG);0,648
Cabeceiras do Piauí (PI);0,583
Cabeceiras (GO);0,668
Cabedelo (PB);0,748
Cabixi (RO);0,65
Cabo de Santo Agostinho (PE);0,686
Cabo Frio (RJ);0,735
Cabo Verde (MG);0,674
Cabrália Paulista (SP);0,694
Cabreúva (SP);0,738
Cabrobó (PE);0,623
Caçador (SC);0,735
Caçapava do Sul (RS);0,704
Caçapava (SP);0,788
Cacaulândia (RO);0,646
Cacequi (RS);0,7
Cáceres (MT);0,708
Cachoeira Alta (GO);0,71
Cachoeira (BA);0,647
Cachoeira da Prata (MG);0,741
Cachoeira de Goiás (GO);0,727
Cachoeira de Minas (MG);0,706
Cachoeira de Pajeú (MG);0,578
Cachoeira do Arari (PA);0,546
Cachoeira do Piriá (PA);0,473
Cachoeira dos Índios (PB);0,587
Cachoeira do Sul (RS);0,742
Cachoeira Dourada (GO);0,698
Cachoeira Dourada (MG);0,726
Cachoeira Grande (MA);0,537
Cachoeira Paulista (SP);0,764
Cachoeiras de Macacu (RJ);0,7
Cachoeirinha (PE);0,579
Cachoeirinha (RS);0,757
Cachoeirinha (TO);0,627
Cachoeiro de Itapemirim (ES);0,746
Cacimba de Areia (PB);0,596
Cacimba de Dentro (PB);0,564
Cacimbas (PB);0,523
Cacimbinhas (AL);0,531
Cacique Doble (RS);0,662
Cacoal (RO);0,718
Caconde (SP);0,72
Caçu (GO);0,73
Caculé (BA);0,637
Caém (BA);0,546
Caetanópolis (MG);0,706
Caetanos (BA);0,542
Caeté (MG);0,728
Caetés (PE);0,522
Caetité (BA);0,625
Cafarnaum (BA);0,584
Cafeara (PR);0,693
Cafelândia (PR);0,748
Cafelândia (SP);0,742
Cafezal do Sul (PR);0,692
Caiabu (SP);0,729
Caiana (MG);0,633
Caiapônia (GO);0,693
Caibaté (RS);0,719
Caibi (SC);0,728
Caiçara do Norte (RN);0,574
Caiçara do Rio do Vento (RN);0,587
Caiçara (PB);0,592
Caiçara (RS);0,699
Caicó (RN);0,71
Caieiras (SP);0,781
Cairu (BA);0,627
Caiuá (SP);0,697
Cajamar (SP);0,728
Cajapió (MA);0,553
Cajari (MA);0,523
Cajati (SP);0,694
Cajazeiras do Piauí (PI);0,562
Cajazeiras (PB);0,679
Cajazeirinhas (PB);0,55
Cajobi (SP);0,734
Cajueiro (AL);0,562
Cajueiro da Praia (PI);0,546
Cajuri (MG);0,617
Cajuru (SP);0,713
Calçado (PE);0,566
Calçoene (AP);0,643
Caldas Brandão (PB);0,568
Caldas (MG);0,687
Caldas Novas (GO);0,733
Caldazinha (GO);0,685
Caldeirão Grande (BA);0,573
Caldeirão Grande do Piauí (PI);0,588
Califórnia (PR);0,722
Calmon (SC);0,622
Calumbi (PE);0,571
Camacan (BA);0,581
Camaçari (BA);0,694
Camacho (MG);0,69
Camalaú (PB);0,567
Camamu (BA);0,565
Camanducaia (MG);0,689
Camapuã (MS);0,703
Camaquã (RS);0,697
Camaragibe (PE);0,692
Camargo (RS);0,736
Cambará do Sul (RS);0,697
Cambará (PR);0,721
Cambé (PR);0,734
Cambira (PR);0,725
Camboriú (SC);0,726
Cambuci (RJ);0,691
Cambuí (MG);0,751
Cambuquira (MG);0,699
Cametá (PA);0,577
Camocim (CE);0,62
Camocim de São Félix (PE);0,588
Campanário (MG);0,616
Campanha (MG);0,709
Campestre (AL);0,559
Campestre da Serra (RS);0,706
Campestre de Goiás (GO);0,653
Campestre do Maranhão (MA);0,652
Campestre (MG);0,698
Campinaçu (GO);0,631
Campina da Lagoa (PR);0,704
Campina das Missões (RS);0,738
Campina do Monte Alegre (SP);0,717
Campina do Simão (PR);0,63
Campina Grande do Sul (PR);0,718
Campina Grande (PB);0,72
Campinápolis (MT);0,538
Campinas do Piauí (PI);0,544
Campinas do Sul (RS);0,76
Campinas (SP);0,805
Campina Verde (MG);0,704
Campinorte (GO);0,688
Campo Alegre (AL);0,57
Campo Alegre de Goiás (GO);0,694
Campo Alegre de Lourdes (BA);0,557
